pin,qu_town,qu_mlt_cd,qu_home_improvement,qu_use,qu_exterior_wall,qu_roof,qu_basement_type,qu_basement_finish,qu_heat,qu_air,qu_attic_type,qu_attic_finish,qu_type_plan,qu_type_design,qu_construct_quality,qu_porch,qu_garage_size,qu_garage_const,qu_garage_attached,qu_garage_area,qu_num_apts,qu_sqft_bld,qu_lnd_sqft,qu_class,qu_rooms,qu_beds,qu_full_bath,qu_half_bath,qu_fire_place,qu_no_com_unit,qu_type_of_res,qu_upload_date,hie_last_year_active,year
13253230040000,77,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,2,0,0,0,203,0,0,0,0,0,0,0,2019-06-19,2023,2019
10254170360000,75,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,483,0,206,1,1,1,0,0,0,0,2017-01-23,2020,2017
13253230040000,77,3,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1170,0,278,4,2,2,0,0,0,2,2017-04-20,2020,2017
09361030150000,71,3,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1415,0,206,3,3,2,0,0,0,2,2017-06-09,2020,2017
13362270230000,77,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,720,0,205,2,2,2,0,0,0,2,2015-07-01,2020,2015
09254040180000,71,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,2,2,0,845,0,207,2,2,2,0,0,0,2,2015-08-01,2020,2015
09363230550000,71,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,2,2,0,1176,0,206,2,1,2,0,0,0,2,2015-08-01,2020,2015
17032010190000,74,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,210,0,0,0,1,0,0,0,2015-09-02,2020,2015
10253190450000,75,3,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3558,0,209,4,2,2,0,0,0,2,2016-02-03,2020,2016
13253160160000,77,3,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1084,0,205,2,1,2,0,0,0,2,2016-08-01,2020,2016
14321260280000,74,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,2,6,810,0,206,2,0,2,0,0,0,0,2016-09-13,2020,2016
